xihao,0£¨0h£©,1£¨0.5h£©,2(1h),3(1.5h),4(2h),5(4h),6(6h),7(8h),8(10h),9(12h),10(16h),11(20h),12(24h£©,13(30h),14(36h)
J32,5.00E+03,4.69E+05,6.65E+05,3.72E+05,3.46E+05,3.43E+06,3.97E+08,5.17E+09,4.10E+10,2.20E+10,1.08E+11,7.90E+10,3.54E+09,1.11E+10,2.34E+10
J33,5.00E+03,1.51E+05,1.68E+05,3.59E+05,3.59E+05,4.53E+05,1.93E+08,5.33E+09,7.35E+10,1.08E+11,2.12E+11,3.97E+10,4.15E+09,3.83E+10,2.06E+10
J34,5.00E+03,8.22E+04,3.70E+04,9.68E+04,2.93E+05,1.54E+07,1.96E+06,1.20E+07,4.58E+06,1.79E+07,3.55E+06,1.51E+07,4.54E+06,1.09E+07,6.17E+08
J35,5.00E+03,4.93E+04,1.61E+05,1.52E+05,3.39E+05,2.40E+06,3.32E+07,7.74E+07,3.42E+08,3.98E+08,2.12E+11,1.19E+11,4.25E+09,1.76E+11,2.00E+10
J36,5.00E+03,4.74E+03,4.66E+05,1.00E+05,1.84E+06,2.43E+07,9.11E+07,4.75E+07,7.63E+07,1.23E+08,3.67E+08,1.45E+07,3.09E+08,5.95E+08,1.85E+07
J37,5.00E+03,7.43E+04,4.03E+05,2.82E+05,8.76E+05,1.32E+07,2.16E+08,4.75E+08,2.38E+09,6.77E+08,3.50E+08,1.03E+08,6.39E+08,2.57E+08,1.70E+08
J38,5.00E+03,1.79E+05,1.20E+05,7.83E+04,1.82E+05,5.64E+05,4.26E+06,5.23E+06,2.13E+07,2.28E+07,1.56E+07,4.91E+07,9.52E+07,6.12E+07,8.55E+06
J39,5.00E+03,9.74E+04,5.02E+05,9.94E+05,3.20E+06,7.86E+07,1.09E+09,6.88E+07,1.63E+07,4.56E+08,3.07E+08,3.02E+08,9.52E+07,6.12E+07,8.55E+06
J40,5.00E+03,5.64E+05,1.39E+06,3.43E+06,2.06E+06,6.84E+07,1.36E+07,3.86E+08,8.81E+08,1.40E+09,5.05E+08,6.72E+08,2.32E+08,2.54E+08,4.52E+08
J41,5.00E+03,2.93E+06,1.54E+06,2.18E+06,2.20E+06,7.24E+06,5.33E+07,2.26E+09,1.23E+09,2.00E+07,3.22E+08,3.00E+08,6.46E+08,8.79E+08,2.09E+09
J42,5.00E+03,1.30E+06,3.12E+06,5.40E+06,4.29E+06,9.21E+07,1.65E+09,8.06E+09,3.81E+09,8.46E+08,2.56E+07,5.70E+08,6.86E+08,8.19E+08,4.09E+09
J43,5.00E+03,1.49E+06,3.26E+06,3.72E+06,1.03E+07,1.58E+08,2.07E+08,1.74E+08,3.64E+09,3.34E+09,2.43E+09,6.00E+09,3.06E+10,9.22E+09,4.32E+09
J44,5.00E+03,2.41E+06,9.62E+06,2.12E+07,1.79E+06,4.58E+08,8.57E+09,3.58E+08,2.35E+11,4.55E+11,3.83E+11,1.44E+10,6.03E+10,9.88E+10,3.49E+08
J45,5.00E+03,3.08E+06,5.88E+06,1.65E+07,1.23E+06,3.43E+08,4.02E+09,8.01E+08,4.38E+10,8.33E+09,4.68E+09,6.89E+08,4.13E+07,7.54E+08,2.85E+08
J46,5.00E+03,1.04E+06,4.59E+05,1.11E+06,5.21E+06,9.94E+07,6.63E+07,1.04E+08,3.85E+09,1.39E+10,8.42E+09,1.82E+10,9.13E+10,3.21E+10,7.76E+09
J47,5.00E+03,3.87E+06,6.82E+06,2.75E+07,4.11E+07,5.12E+08,1.15E+09,1.52E+09,9.92E+08,4.60E+08,2.44E+08,1.50E+07,2.55E+07,2.64E+03,2.56E+05
J48,5.00E+03,2.54E+06,3.28E+06,4.52E+06,8.87E+06,7.86E+07,3.59E+07,1.01E+08,7.31E+07,1.27E+07,2.50E+07,7.31E+07,5.61E+06,6.70E+05,8.12E+05
J49,5.00E+03,9.02E+05,1.43E+06,3.30E+06,2.94E+07,1.82E+09,9.59E+09,9.37E+09,4.67E+10,3.15E+11,7.95E+10,1.06E+09,5.60E+08,3.21E+08,7.60E+07
J50,5.00E+03,1.99E+06,2.84E+06,7.29E+06,1.70E+07,1.25E+08,1.27E+08,1.63E+08,4.38E+08,9.36E+06,1.69E+07,5.67E+06,4.57E+06,6.11E+06,5.10E+05
J51,5.00E+03,3.30E+06,3.28E+06,5.47E+06,1.24E+07,1.19E+08,1.57E+08,1.23E+08,3.07E+08,6.27E+07,1.62E+08,8.51E+07,2.99E+08,5.43E+07,6.25E+08
J52,5.00E+03,1.87E+06,2.72E+06,8.10E+06,8.44E+06,8.29E+07,4.18E+08,1.25E+09,2.53E+09,2.27E+09,2.48E+09,9.39E+08,1.99E+09,6.29E+08,2.31E+08
J53,5.00E+03,1.54E+05,2.68E+05,9.37E+05,2.11E+06,1.89E+07,2.59E+07,5.25E+07,7.71E+10,2.55E+10,9.82E+09,7.93E+09,4.70E+09,1.46E+08,6.08E+07
J54,5.00E+03,5.08E+06,1.02E+07,2.72E+07,5.52E+07,1.66E+09,5.36E+09,1.19E+10,6.14E+09,3.55E+09,5.80E+08,2.03E+09,1.91E+07,3.06E+06,2.86E+06
J55,5.00E+03,1.62E+06,1.25E+06,6.58E+06,2.08E+07,5.42E+09,1.25E+10,2.73E+10,1.09E+11,1.54E+11,1.20E+11,4.22E+10,3.91E+10,7.41E+09,3.70E+09
J56,5.00E+03,7.08E+06,8.64E+06,2.28E+07,1.69E+08,3.83E+09,5.12E+10,7.45E+10,3.10E+10,8.84E+10,7.20E+10,1.61E+10,8.52E+10,5.10E+10,1.01E+11
J57,5.00E+03,4.58E+05,1.35E+06,3.53E+06,7.37E+06,2.24E+07,3.01E+08,7.05E+08,1.22E+09,1.40E+09,4.48E+08,5.96E+07,9.17E+07,6.38E+07,1.28E+07
J58,5.00E+03,4.79E+05,3.70E+05,6.19E+05,4.53E+05,2.06E+06,3.00E+07,4.18E+07,1.15E+08,9.80E+07,5.49E+07,7.39E+07,1.87E+07,1.03E+07,2.36E+06
J59,5.00E+03,6.07E+05,3.98E+05,6.63E+05,8.10E+05,1.61E+06,2.32E+07,1.88E+08,2.98E+08,3.64E+08,2.40E+08,1.73E+08,3.10E+08,5.03E+08,3.40E+08
J60,5.00E+03,9.14E+05,5.11E+05,6.17E+05,7.30E+05,2.53E+06,8.07E+07,5.52E+07,1.61E+08,1.79E+08,6.10E+07,7.89E+07,5.88E+07,3.43E+06,1.84E+06
J61,5.00E+03,9.75E+05,1.26E+06,1.94E+06,3.29E+06,1.05E+08,7.07E+08,6.04E+08,4.24E+09,1.41E+09,2.90E+09,1.17E+09,1.59E+08,6.42E+07,7.30E+06
J62,5.00E+03,6.18E+05,8.99E+05,1.17E+06,1.48E+06,1.74E+06,3.81E+06,5.40E+06,5.91E+06,5.65E+07,2.21E+07,3.34E+06,2.52E+06,4.84E+06,7.46E+06
J63,5.00E+03,2.31E+06,2.10E+06,1.54E+06,5.03E+06,5.73E+07,1.39E+08,5.34E+08,3.66E+09,4.75E+09,2.09E+09,1.49E+09,7.97E+08,6.87E+07,1.43E+06
J64,5.00E+03,1.63E+06,1.93E+07,4.79E+07,9.60E+07,2.77E+08,4.54E+08,3.47E+09,6.59E+10,8.24E+10,9.11E+10,2.72E+11,5.04E+11,1.21E+11,4.74E+10
J65,5.00E+03,1.72E+06,2.14E+06,2.72E+06,3.89E+06,2.14E+07,1.08E+08,1.99E+08,2.50E+08,1.11E+08,8.73E+07,6.79E+07,1.18E+07,7.36E+05,1.08E+05
J66,5.00E+03,3.25E+05,3.63E+05,6.16E+05,1.09E+06,1.59E+07,5.94E+09,1.31E+10,3.31E+10,2.07E+10,1.04E+10,1.62E+10,2.59E+09,6.95E+08,2.80E+08
J67,5.00E+03,3.10E+05,2.96E+06,3.02E+06,4.24E+06,2.30E+07,1.03E+08,1.12E+09,1.37E+10,7.72E+09,3.16E+09,1.86E+10,1.74E+09,5.45E+06,4.20E+06
J68,5.00E+03,1.69E+06,3.18E+06,3.12E+06,8.08E+06,5.50E+06,3.32E+07,1.08E+08,2.58E+08,8.60E+08,4.10E+08,2.40E+07,1.59E+06,1.59E+05,7.33E+04
J69,5.00E+03,1.46E+06,1.22E+06,1.57E+06,2.34E+06,1.36E+06,1.94E+07,6.98E+07,1.29E+08,1.10E+08,1.08E+08,2.56E+07,2.83E+07,1.84E+07,6.16E+07
J70,5.00E+03,1.05E+06,8.99E+05,6.63E+05,4.71E+06,7.36E+06,7.66E+07,1.54E+08,4.12E+08,9.54E+08,1.41E+09,2.33E+08,9.50E+07,1.79E+07,1.36E+07
J71,5.00E+03,6.81E+05,1.04E+06,1.90E+06,2.77E+06,8.26E+07,1.25E+08,1.72E+08,6.61E+07,2.87E+07,8.65E+07,8.61E+06,8.21E+06,3.69E+06,3.61E+06
